food_name,calories_kcal,protein_g,carbs_g,fat_g,fiber_g
burger,295,17,30,12,2
butter_naan,260,6,40,8,2
chai,50,2,8,2,0
chapati,120,3,20,2,3
chole_bhature,350,10,45,15,8
dal_makhani,300,12,30,12,6
dhokla,160,8,25,4,3
fried_rice,250,6,35,8,2
idli,58,2,12,0.4,1
jalebi,300,3,50,10,0
kaathi_rolls,300,12,35,12,3
kadai_paneer,280,10,12,20,3
kulfi,200,5,25,10,0
masala_dosa,250,6,40,8,4
momos,200,10,25,6,2
paani_puri,150,4,30,2,2
pakode,200,5,20,12,2
pav_bhaji,400,8,50,18,6
pizza,285,12,33,10,2
samosa,260,5,30,15,3

chicken_biryani,290,15,35,10,2
dosa,168,3,30,3.7,2
kaara_chutney,80,2,6,5,1
kali,150,3,30,1,2
koozh,100,3,20,1,2
lemon_rice,180,4,30,5,2
mushroom_biryani,220,6,35,6,2
mutton_biryani,350,18,30,20,1
nandu_masala,220,20,5,12,1
nei_satham,250,4,35,10,1
paal_kozhukattai,200,5,30,5,1
panner_masala,300,12,15,20,3
panner_masala_dosa,320,10,35,15,3
parupu_vada,180,6,20,8,3
pidi_kozhukattai,160,4,30,2,2
poorna_kozhukattai,220,4,40,4,2
prawn_thokku,200,18,5,12,1
puthina_chutney,60,2,5,3,1
sambar,80,4,10,2,3
sambar_satham,200,6,30,5,3
satham,130,2,28,0.3,0.5
thengai_chutney,150,2,6,14,2
uzhuntha_vadai,170,6,18,8,2
veg_biryani,250,6,40,8,3
ven_pongal,220,6,35,6,2

appam,120,2,25,1,1
puttu,180,4,35,2,3
kadala_curry,220,8,30,6,6
fish_curry,200,18,3,12,1
egg_curry,180,10,5,12,1
curd,60,3,4,3,0
buttermilk,40,2,5,1,0
banana,89,1,23,0.3,2.5